id,lat,lon,area,regions1,regions2
188,47.72,13.6,125,4,4
189,47.79,13.59,250,4,4
190,47.71,13.57,1239,4,4
191,47.89,13.6,40,4,4
192,47.97,13.78,1474,2,4
193,47.85,13.5,37,4,4
194,47.83,13.16,108,4,4
195,47.77,13.73,31.2,4,4
196,47.87,13.62,467,2,4
197,47.99,13.41,99.7,2,4
198,48.12,13.7,58.1,2,4
199,47.96,13.5,334,2,4
200,47.93,13.46,51.4,2,4
201,48.07,13.8,446,2,4
202,48.07,13.65,959,2,4
203,48,13.8,81,2,4
204,48.09,13.7,22.3,2,4
205,48.06,13.94,1238,2,4
206,48.18,13.83,2767,2,4
207,48.04,13.96,45.8,2,4
208,47.93,14.04,326,4,4
209,48.03,13.81,444,2,4
210,48.21,14.08,68.3,2,4
211,48.16,13.85,57.4,2,4
212,47.87,14.36,20.9,4,4
213,48.14,14.21,22.4,2,4
214,47.89,14.26,14.5,4,4
215,47.98,14.26,40.5,4,4
216,48.11,14,146,2,4
217,48.24,14.41,365,2,4
218,48.2,14.42,86,2,4
219,47.76,14.62,87.3,4,4
220,47.97,14.6,168,4,4
221,47.97,14.43,4952,2,4
222,47.7,14.18,25.2,4,4
223,47.75,13.92,15.6,4,4
224,47.76,14.17,81.8,4,4
225,47.8,14.29,184,4,4
226,47.65,14.3,40.2,4,4
227,47.78,14.49,69.5,4,4
228,47.72,14.4,147,4,4
229,47.76,14.22,235,4,4
230,47.89,14.33,72.4,4,4
231,47.85,14.03,538,4,4
232,47.81,14.16,43,4,4
233,47.92,14.4,99.6,4,4
234,47.95,14.38,129,4,4
235,47.96,14.42,903,2,4
236,48.12,14.48,6033,2,4
237,48.42,14.47,63.9,2,4
238,47.77,13.76,49.9,4,4
239,48.42,14.43,266,2,4
240,48.36,14.63,603,2,4
241,48.37,14.91,80.4,2,4
242,48.48,14.82,36.9,2,4
243,48.22,14.71,304,2,4
244,48.25,14.91,87.6,2,4
245,47.98,13.5,13.1,2,4
246,48.18,13.26,188,2,4
247,48.21,13.25,31.2,2,4
248,48.17,12.98,1.5,2,4
249,48.31,13.58,14.2,2,4
250,47.61,13.49,91.7,4,4
251,48.28,13.96,56.4,2,4
252,48.27,13.93,101,2,4
253,48.33,13.73,48.4,2,4
254,47.9,13.28,250,4,4
255,48.33,14.9,42.5,2,4
256,48.1,13.04,58.9,2,4
257,48.45,13.55,39.3,2,4
258,47.94,13.52,492,2,4
259,48.04,13.7,52.8,2,4
260,48.12,13.96,72.2,2,4
261,48.06,13.13,154,2,4
262,48.41,13.78,129,2,4
263,47.85,14.35,78.1,4,4
264,48.2,14.25,260,2,4
265,48.01,13.42,104,2,4
266,48.16,14.16,3372,2,4
267,47.65,14.17,16.6,4,4
268,47.56,14.36,17.3,4,4
269,47.63,14.36,9.5,4,4
270,47.92,13.95,181,4,4
271,47.73,14.02,15,4,4
272,47.68,14.16,17.3,4,4
273,47.96,14.71,24.6,4,4
274,48.59,14.4,95.3,2,4
275,48.16,13.65,19.8,2,4
276,48.24,14.44,107,2,4
277,48.43,14.62,190,2,4
278,48.14,14.44,71.1,2,4
279,48.16,14.2,20.5,2,4
280,47.78,13.82,35.1,4,4
281,48.12,12.88,114,2,4
282,47.63,13.56,5.5,4,4
283,48.38,14.14,60,2,4
284,48.39,14.2,27.9,2,4
285,48.56,14.67,101,2,4
286,47.92,13.19,12,2,4
287,48.27,13.32,14,2,4
288,48.18,13.2,22.2,2,4
289,48.19,13.34,39.1,2,4
290,48.29,13.24,191,2,4
291,47.69,14.81,93.5,4,4
292,48.52,13.88,43.7,2,4
293,47.94,14.43,11,4,4
294,48.3,13.56,55.6,2,4
295,48.03,14.33,74.8,2,4
296,47.81,14.29,15.4,4,4
297,48.3,14.48,76.6,2,4
298,48.14,15.15,96699,2,4
299,48.38,16.12,99175,2,4
300,48.44,16.28,100296,2,4
301,48.33,16.16,99534,2,4
302,48.06,16.99,103763,2,4
303,48.8,17.03,12738,2,5
304,48.45,16.77,25700,2,4
305,48.34,15.41,96913,2,4
306,48.16,16.84,103234,2,4
307,48.27,16.38,102730,2,4
308,48.23,17.19,130984,2,4
309,48.12,17.02,129519,2,4
310,48.27,15.14,163,2,4
311,47.94,14.66,502,4,4
312,47.87,14.9,98.4,4,4
313,48.13,14.75,1112,2,4
314,48.12,14.51,155,2,4
315,47.86,15.22,36.1,4,4
316,47.83,15.37,23.2,4,4
317,47.93,15.2,201,4,4
318,47.86,15.3,51.5,4,4
319,48.04,15.25,32.2,4,4
320,48.12,14.99,166,2,4
321,48.21,15.1,596,2,4
322,48.21,15.25,217,2,4
323,48.2,15.15,37.6,2,4
324,48.2,15.13,286,2,4
325,48,15.28,42.2,4,4
326,48,15.64,292,4,4
327,48.22,15.47,87.7,2,4
328,48.47,15.61,306,2,4
329,48.29,15.71,163,2,4
330,48.04,15.76,345,4,4
331,47.97,15.56,209,4,4
332,48.59,15.19,270,2,4
333,48.66,15.06,622,2,4
334,48.56,15.19,76.7,2,4
335,48.52,15.19,33.5,2,4
336,48.48,15.47,94.5,2,4
337,48.68,15.5,1127,2,4
338,48.62,15.86,1522,2,4
339,48.34,15.91,266,2,4
340,48.48,16.1,383,2,4
341,48.25,16.2,32,4,4
342,48.27,16.25,201,2,4
343,48.1,16.29,180,4,4
344,48.02,16.44,59,4,4
345,48.02,16.13,184,4,4
346,47.88,16.07,285,4,4
347,48.08,16.43,59,2,4
348,48.06,16.57,1021,2,4
349,48.06,16.38,36.1,2,4
350,47.97,16.31,4.6,2,4
351,48.06,16.43,66.7,2,4
352,48.1,16.46,74,2,4
353,47.92,15.89,50.3,4,4
354,47.92,16.24,284,2,4
355,47.91,16.2,313,2,4
356,48.02,16.45,285,2,4
357,48.06,16.64,420,2,4
358,48.07,16.7,19,2,4
359,48.11,16.6,533,2,4
360,48.42,16.6,132,2,4
361,48.77,14.89,267,2,4
362,48.82,15.18,68.7,2,4
363,48.77,15.04,293,2,4
